time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
0,IT,7.985619289456941,7.985619289456941,-56.03221609473745,-56.03221609473745,0,-55.16384516894359,-55.16384516894359,NA,NA,NA,NA
0,IT,7.985619289456941,7.985619289456941,-56.03221609473745,-56.03221609473745,0,-55.16384516894359,-55.16384516894359,NA,NA,NA,NA
1,IT,8.41056158283545,8.780831636240954,-55.83396169263602,-56.31922678521037,0.4852650925743518,-55.043646273095185,-55.30802182447207,NA,NA,NA,NA
1,IT,8.41056158283545,8.780831636240954,-55.83396169263602,-56.31922678521037,0.4852650925743518,-55.043646273095185,-55.30802182447207,NA,NA,NA,NA
2,IT,8.340784227569332,9.52849654970153,-55.32247098793323,-56.39371622131177,1.0712452333785407,-54.92645941596148,-55.097087233385324,NA,NA,NA,NA
2,IT,8.340784227569332,9.52849654970153,-55.32247098793323,-56.39371622131177,1.0712452333785407,-54.92645941596148,-55.097087233385324,NA,NA,NA,NA
3,IT,8.30992867890659,8.184435280305614,-56.040398435239794,-56.553432686896095,0.5130342516563005,-54.791953780313605,-55.29701426870182,NA,NA,NA,NA
3,IT,8.30992867890659,8.184435280305614,-56.040398435239794,-56.553432686896095,0.5130342516563005,-54.791953780313605,-55.29701426870182,NA,NA,NA,NA
4,IT,8.899089253071221,8.364341096798464,-55.81036972303211,-55.173719540582994,-0.6366501824491166,-54.727750876403164,-55.35901844015109,NA,NA,NA,NA
4,IT,8.899089253071221,8.364341096798464,-55.81036972303211,-55.173719540582994,-0.6366501824491166,-54.727750876403164,-55.35901844015109,NA,NA,4,NA
5,IT,9.004031754351148,8.619529327535732,-54.728034290101014,-54.25807857237829,-0.46995571772272626,-54.748025299609424,-55.390034178453305,NA,NA,NA,NA
5,IT,9.004031754351148,8.619529327535732,-54.728034290101014,-54.25807857237829,-0.46995571772272626,-54.748025299609424,-55.390034178453305,NA,NA,5,NA
6,IT,8.941151765196038,8.875979700309237,-53.15967056585702,-53.74948904059068,0.5898184747336614,-54.678445627356965,-55.33871514649564,NA,6,NA,NA
6,IT,8.941151765196038,8.875979700309237,-53.15967056585702,-53.74948904059068,0.5898184747336614,-54.678445627356965,-55.33871514649564,NA,NA,6,NA
7,IT,8.059795638652231,6.91439464346216,-51.28688488566581,-51.242956799604634,-0.04392808606117882,-54.775168316131776,-55.40252632886102,NA,7,NA,NA
7,IT,8.059795638652231,6.91439464346216,-51.28688488566581,-51.242956799604634,-0.04392808606117882,-54.775168316131776,-55.40252632886102,NA,NA,7,NA
8,IT,7.783653166399307,8.479571718196512,-49.77716301087819,-51.403458373852665,1.6262953629744743,-54.65803106357823,-55.377154789213954,NA,8,NA,NA
