item1,value,item2,t1,t2,t
1,1,1,32,33,640-660 ms
1,0.80262257146878635,2,32,33,640-660 ms
1,0.8618251306703318,3,32,33,640-660 ms
1,0.8466347045159728,4,32,33,640-660 ms
1,0.8669504494871505,5,32,33,640-660 ms
1,0.8453019947291144,6,32,33,640-660 ms
1,0.6955098696349269,7,32,33,640-660 ms
1,0.7842984505011135,8,32,33,640-660 ms
1,0.7230112735973886,9,32,33,640-660 ms
1,0.7068791307252089,10,32,33,640-660 ms
1,0.6290852312207441,11,32,33,640-660 ms
1,0.7048089502469976,12,32,33,640-660 ms
1,0.7544223711280797,13,32,33,640-660 ms
1,0.7985007631819206,14,32,33,640-660 ms
1,0.8063927347539998,15,32,33,640-660 ms
1,0.7256038918394688,16,32,33,640-660 ms
1,0.7163578189660382,17,32,33,640-660 ms
1,0.8607858812230412,18,32,33,640-660 ms
1,0.5881079957526987,19,32,33,640-660 ms
1,0.7645300941370143,20,32,33,640-660 ms
1,0.5808062863699391,21,32,33,640-660 ms
1,0.7643968892793795,22,32,33,640-660 ms
1,0.7071214695956928,23,32,33,640-660 ms
1,0.6935847482726304,24,32,33,640-660 ms
1,0.634793949615236,25,32,33,640-660 ms
1,0.6379033172574132,26,32,33,640-660 ms
1,0.6681948289515144,27,32,33,640-660 ms
1,0.8694044289190502,28,32,33,640-660 ms
1,0.8170361256165541,29,32,33,640-660 ms
1,0.7731197104512358,30,32,33,640-660 ms
1,0.80272479681081,31,32,33,640-660 ms
1,0.8401480119339246,32,32,33,640-660 ms
1,0.7238666915727552,33,32,33,640-660 ms
1,0.8178639699211426,34,32,33,640-660 ms
1,0.7358308629692253,35,32,33,640-660 ms
1,0.8497798774375686,36,32,33,640-660 ms
1,0.6340479398828643,37,32,33,640-660 ms
1,0.6752603789029957,38,32,33,640-660 ms
1,0.5955396396838933,39,32,33,640-660 ms
1,0.6743571897073741,40,32,33,640-660 ms
1,0.6711029796665514,41,32,33,640-660 ms
1,0.681923891276248,42,32,33,640-660 ms
1,0.7014249954468482,43,32,33,640-660 ms
1,0.615004701124017,44,32,33,640-660 ms
1,0.7194938203240273,45,32,33,640-660 ms
1,0.7722213423729641,46,32,33,640-660 ms
1,0.8403718490716654,47,32,33,640-660 ms
1,0.7014093219827671,48,32,33,640-660 ms
1,0.7741069288911642,49,32,33,640-660 ms
1,0.7581264234123428,50,32,33,640-660 ms
1,0.7240725989868841,51,32,33,640-660 ms
1,0.77036136237138,52,32,33,640-660 ms
1,0.7842881034494719,53,32,33,640-660 ms
1,0.6824358285309903,54,32,33,640-660 ms
1,0.8034187194432466,55,32,33,640-660 ms
1,0.7844601046643548,56,32,33,640-660 ms
1,0.7600529267823323,57,32,33,640-660 ms
1,0.6027589597374216,58,32,33,640-660 ms
1,0.7817177813862579,59,32,33,640-660 ms
1,0.8026646852907334,60,32,33,640-660 ms
2,0.80262257146878635,1,32,33,640-660 ms
2,1,2,32,33,640-660 ms
2,0.7744069668640728,3,32,33,640-660 ms
2,0.7078390816614388,4,32,33,640-660 ms
2,0.8290680163191038,5,32,33,640-660 ms
2,0.7309471638788722,6,32,33,640-660 ms
2,0.8447444051066616,7,32,33,640-660 ms
2,0.7275090329885453,8,32,33,640-660 ms
2,0.803279917738294,9,32,33,640-660 ms
2,0.70004486243383,10,32,33,640-660 ms
2,0.7233835947017986,11,32,33,640-660 ms
2,0.6038850335047021,12,32,33,640-660 ms
2,0.7018766768939535,13,32,33,640-660 ms
2,0.8285340215883815,14,32,33,640-660 ms
2,0.7592220998652062,15,32,33,640-660 ms
2,0.7480633836766999,16,32,33,640-660 ms
2,0.7118646329830498,17,32,33,640-660 ms
2,0.7620574131949489,18,32,33,640-660 ms
2,0.5357593881201149,19,32,33,640-660 ms
2,0.7095324431302957,20,32,33,640-660 ms
2,0.5566009235234323,21,32,33,640-660 ms
2,0.7210822788411692,22,32,33,640-660 ms
2,0.7041533162217742,23,32,33,640-660 ms
2,0.7283579326898827,24,32,33,640-660 ms
2,0.6164771598026937,25,32,33,640-660 ms
2,0.6212344767354634,26,32,33,640-660 ms
2,0.6763049713683191,27,32,33,640-660 ms
2,0.7535462178947658,28,32,33,640-660 ms
2,0.7776497837269146,29,32,33,640-660 ms
2,0.7352164245190727,30,32,33,640-660 ms
2,0.7859060252465664,31,32,33,640-660 ms
2,0.756960889196108,32,32,33,640-660 ms
2,0.7185946953951468,33,32,33,640-660 ms
2,0.7084918155542682,34,32,33,640-660 ms
2,0.6762123048904927,35,32,33,640-660 ms
2,0.7894568082897088,36,32,33,640-660 ms
2,0.6354992997755867,37,32,33,640-660 ms
2,0.7316229566294751,38,32,33,640-660 ms
2,0.569033088805036,39,32,33,640-660 ms
2,0.6897063899584269,40,32,33,640-660 ms
2,0.7332606246038037,41,32,33,640-660 ms
2,0.7050854338179086,42,32,33,640-660 ms
2,0.6771630939370967,43,32,33,640-660 ms
2,0.709051897433827,44,32,33,640-660 ms
2,0.7149083358360774,45,32,33,640-660 ms
2,0.795399054586284,46,32,33,640-660 ms
2,0.7630419634649391,47,32,33,640-660 ms
2,0.7908294439889588,48,32,33,640-660 ms
2,0.7878507223592668,49,32,33,640-660 ms
2,0.8055965947034825,50,32,33,640-660 ms
2,0.7314814981018309,51,32,33,640-660 ms
2,0.8139359333097853,52,32,33,640-660 ms
2,0.7809645201385511,53,32,33,640-660 ms
2,0.7127837720562159,54,32,33,640-660 ms
2,0.7360588587262813,55,32,33,640-660 ms
2,0.823461289119717,56,32,33,640-660 ms
2,0.6809077415193178,57,32,33,640-660 ms
2,0.6338341113454536,58,32,33,640-660 ms
2,0.6667381485430339,59,32,33,640-660 ms
2,0.7159023463245401,60,32,33,640-660 ms
3,0.8618251306703318,1,32,33,640-660 ms
3,0.7744069668640728,2,32,33,640-660 ms
3,1,3,32,33,640-660 ms
3,0.8476191084393218,4,32,33,640-660 ms
3,0.8452948777738487,5,32,33,640-660 ms
3,0.7688577626408196,6,32,33,640-660 ms
3,0.7487471355110831,7,32,33,640-660 ms
3,0.8042025285083076,8,32,33,640-660 ms
3,0.742065295150702,9,32,33,640-660 ms
3,0.8144613523072148,10,32,33,640-660 ms
3,0.729643006147704,11,32,33,640-660 ms
3,0.628798465222026,12,32,33,640-660 ms
3,0.8501933019400943,13,32,33,640-660 ms
3,0.7794801383018268,14,32,33,640-660 ms
3,0.8268472314463764,15,32,33,640-660 ms
3,0.8355142095098906,16,32,33,640-660 ms
3,0.6937369968421108,17,32,33,640-660 ms
3,0.7829358006229526,18,32,33,640-660 ms
3,0.6037024836971948,19,32,33,640-660 ms
3,0.6669604900266881,20,32,33,640-660 ms
3,0.5878262332973,21,32,33,640-660 ms
3,0.7627224944233972,22,32,33,640-660 ms
3,0.6372098873031795,23,32,33,640-660 ms
3,0.6866173421369559,24,32,33,640-660 ms
3,0.662081806508458,25,32,33,640-660 ms
3,0.5523111291334953,26,32,33,640-660 ms
3,0.6332316119788712,27,32,33,640-660 ms
3,0.8304378219882634,28,32,33,640-660 ms
3,0.8653154613408868,29,32,33,640-660 ms
3,0.8081511751947071,30,32,33,640-660 ms
3,0.8086624392837345,31,32,33,640-660 ms
3,0.8590089713441401,32,32,33,640-660 ms
3,0.7905893947742185,33,32,33,640-660 ms
3,0.8494336912667468,34,32,33,640-660 ms
3,0.8023935732818143,35,32,33,640-660 ms
3,0.7688173967409168,36,32,33,640-660 ms
3,0.6670455408493317,37,32,33,640-660 ms
3,0.6619045409883961,38,32,33,640-660 ms
3,0.5764946407825341,39,32,33,640-660 ms
3,0.6038622471986628,40,32,33,640-660 ms
3,0.6456724962349369,41,32,33,640-660 ms
3,0.6686293133934246,42,32,33,640-660 ms
3,0.7245726940166528,43,32,33,640-660 ms
3,0.6798668911667946,44,32,33,640-660 ms
3,0.7519064575271281,45,32,33,640-660 ms
3,0.7958402586814227,46,32,33,640-660 ms
3,0.8264909398361882,47,32,33,640-660 ms
3,0.7756592620949944,48,32,33,640-660 ms
3,0.8032143223248679,49,32,33,640-660 ms
3,0.7538284577434475,50,32,33,640-660 ms
3,0.7475691870169954,51,32,33,640-660 ms
3,0.7498039648671105,52,32,33,640-660 ms
3,0.7934976459949004,53,32,33,640-660 ms
3,0.7585835495621112,54,32,33,640-660 ms
3,0.8182400589593398,55,32,33,640-660 ms
3,0.7941780087580254,56,32,33,640-660 ms
3,0.8016533516849198,57,32,33,640-660 ms
3,0.6315791136266222,58,32,33,640-660 ms
3,0.8281010661840937,59,32,33,640-660 ms
3,0.8024658821883199,60,32,33,640-660 ms
4,0.8466347045159728,1,32,33,640-660 ms
4,0.7078390816614388,2,32,33,640-660 ms
4,0.8476191084393218,3,32,33,640-660 ms
4,1,4,32,33,640-660 ms
4,0.8376647185359765,5,32,33,640-660 ms
4,0.8566197546468551,6,32,33,640-660 ms
4,0.6703111090050448,7,32,33,640-660 ms
4,0.8908813316459177,8,32,33,640-660 ms
4,0.7312807069994302,9,32,33,640-660 ms
4,0.6951699932501408,10,32,33,640-660 ms
4,0.6353727490290672,11,32,33,640-660 ms
4,0.6926210126404916,12,32,33,640-660 ms
4,0.8525468584874168,13,32,33,640-660 ms
4,0.7361850002871452,14,32,33,640-660 ms
4,0.7903313981301187,15,32,33,640-660 ms
4,0.7699568619253853,16,32,33,640-660 ms
4,0.7111592178271764,17,32,33,640-660 ms
4,0.7640646079457307,18,32,33,640-660 ms
4,0.7583401937687936,19,32,33,640-660 ms
4,0.6828568261131326,20,32,33,640-660 ms
