item1,value,item2,t1,t2,t
1,1,1,1,33,0-660 ms
1,0.8623163630211714,2,1,33,0-660 ms
1,0.8467031239304567,3,1,33,0-660 ms
1,0.8576363113744561,4,1,33,0-660 ms
1,0.8629780736965322,5,1,33,0-660 ms
1,0.818313025099767,6,1,33,0-660 ms
1,0.818133361227558,7,1,33,0-660 ms
1,0.8518862551750155,8,1,33,0-660 ms
1,0.8517564518166666,9,1,33,0-660 ms
1,0.7161202228385193,10,1,33,0-660 ms
1,0.806945529513829,11,1,33,0-660 ms
1,0.7290549930168878,12,1,33,0-660 ms
1,0.8100386363146884,13,1,33,0-660 ms
1,0.74063910897738094,14,1,33,0-660 ms
1,0.7128249809145647,15,1,33,0-660 ms
1,0.7639164678921369,16,1,33,0-660 ms
1,0.7767460166092446,17,1,33,0-660 ms
1,0.7203480539257857,18,1,33,0-660 ms
1,0.7730499203494756,19,1,33,0-660 ms
1,0.7601916514278232,20,1,33,0-660 ms
1,0.6949471101203013,21,1,33,0-660 ms
1,0.7777707837237235,22,1,33,0-660 ms
1,0.7769735578522381,23,1,33,0-660 ms
1,0.7890043673987828,24,1,33,0-660 ms
1,0.7903826102518525,25,1,33,0-660 ms
1,0.6661380249404617,26,1,33,0-660 ms
1,0.6563351182622521,27,1,33,0-660 ms
1,0.8141587019794828,28,1,33,0-660 ms
1,0.7923915740658619,29,1,33,0-660 ms
1,0.7976106620968646,30,1,33,0-660 ms
1,0.7802628062845534,31,1,33,0-660 ms
1,0.8125486014642628,32,1,33,0-660 ms
1,0.7538744174231261,33,1,33,0-660 ms
1,0.8472705868802431,34,1,33,0-660 ms
1,0.8084484128161697,35,1,33,0-660 ms
1,0.8324336655525076,36,1,33,0-660 ms
1,0.7663692623660995,37,1,33,0-660 ms
1,0.7595631999864545,38,1,33,0-660 ms
1,0.6651402065095451,39,1,33,0-660 ms
1,0.6590966078066084,40,1,33,0-660 ms
1,0.7253565897983084,41,1,33,0-660 ms
1,0.7052285338237103,42,1,33,0-660 ms
1,0.7850117722615821,43,1,33,0-660 ms
1,0.7018572465032163,44,1,33,0-660 ms
1,0.792165991707296,45,1,33,0-660 ms
1,0.8211839315377633,46,1,33,0-660 ms
1,0.820178505484392,47,1,33,0-660 ms
1,0.8441692042107568,48,1,33,0-660 ms
1,0.79751383555231,49,1,33,0-660 ms
1,0.8315173686980926,50,1,33,0-660 ms
1,0.8165852898664613,51,1,33,0-660 ms
1,0.7893531417719258,52,1,33,0-660 ms
1,0.8348755827948463,53,1,33,0-660 ms
1,0.7800098418206315,54,1,33,0-660 ms
1,0.809077811626442,55,1,33,0-660 ms
1,0.7698166375570692,56,1,33,0-660 ms
1,0.7871670829469944,57,1,33,0-660 ms
1,0.8032031441109779,58,1,33,0-660 ms
1,0.8182556799457323,59,1,33,0-660 ms
1,0.8251887608693195,60,1,33,0-660 ms
2,0.8623163630211714,1,1,33,0-660 ms
2,1,2,1,33,0-660 ms
2,0.8384377628125664,3,1,33,0-660 ms
2,0.838261943736111,4,1,33,0-660 ms
2,0.871749740352277,5,1,33,0-660 ms
2,0.8233954137954567,6,1,33,0-660 ms
2,0.863538495224823,7,1,33,0-660 ms
2,0.8583381247705685,8,1,33,0-660 ms
2,0.8756009775588061,9,1,33,0-660 ms
2,0.734709992269472,10,1,33,0-660 ms
2,0.8071969606410209,11,1,33,0-660 ms
2,0.6881430952311629,12,1,33,0-660 ms
2,0.800396190972698,13,1,33,0-660 ms
2,0.7673375283866838,14,1,33,0-660 ms
2,0.7128257630310953,15,1,33,0-660 ms
2,0.7898867193264609,16,1,33,0-660 ms
2,0.7945238362897734,17,1,33,0-660 ms
2,0.7060546802869835,18,1,33,0-660 ms
2,0.7757691906310464,19,1,33,0-660 ms
2,0.7782178304391968,20,1,33,0-660 ms
2,0.6898638362438345,21,1,33,0-660 ms
2,0.7879415973758609,22,1,33,0-660 ms
2,0.8122324781120844,23,1,33,0-660 ms
2,0.8220558153584914,24,1,33,0-660 ms
2,0.7875073438286483,25,1,33,0-660 ms
2,0.7337906256548689,26,1,33,0-660 ms
2,0.7109309721371098,27,1,33,0-660 ms
2,0.7784708509245147,28,1,33,0-660 ms
2,0.7901067803236119,29,1,33,0-660 ms
2,0.7652868955723946,30,1,33,0-660 ms
2,0.7982832051849301,31,1,33,0-660 ms
2,0.7775197333026821,32,1,33,0-660 ms
2,0.723892773480495,33,1,33,0-660 ms
2,0.7858202182163004,34,1,33,0-660 ms
2,0.7959607553802509,35,1,33,0-660 ms
2,0.7975767212100431,36,1,33,0-660 ms
2,0.7936532958705005,37,1,33,0-660 ms
2,0.8001652309649392,38,1,33,0-660 ms
2,0.722860169877562,39,1,33,0-660 ms
2,0.7246336665615966,40,1,33,0-660 ms
2,0.8137477906230491,41,1,33,0-660 ms
2,0.7660782200842383,42,1,33,0-660 ms
2,0.813080165367526,43,1,33,0-660 ms
2,0.770459226979865,44,1,33,0-660 ms
2,0.8250499714311315,45,1,33,0-660 ms
2,0.8374080221207533,46,1,33,0-660 ms
2,0.8242050733931636,47,1,33,0-660 ms
2,0.841849856596615,48,1,33,0-660 ms
2,0.7815709559641038,49,1,33,0-660 ms
2,0.8190306733237768,50,1,33,0-660 ms
2,0.7996715833944107,51,1,33,0-660 ms
2,0.7834498539929183,52,1,33,0-660 ms
2,0.8107934941000062,53,1,33,0-660 ms
2,0.7902175666153823,54,1,33,0-660 ms
2,0.8248224666100181,55,1,33,0-660 ms
2,0.8099048479432204,56,1,33,0-660 ms
2,0.8052487383758928,57,1,33,0-660 ms
2,0.8206824885117925,58,1,33,0-660 ms
2,0.828126220836836,59,1,33,0-660 ms
2,0.8294323220247177,60,1,33,0-660 ms
3,0.8467031239304567,1,1,33,0-660 ms
3,0.8384377628125664,2,1,33,0-660 ms
3,1,3,1,33,0-660 ms
3,0.8343965883040549,4,1,33,0-660 ms
3,0.848457826628014,5,1,33,0-660 ms
